areaid,tsdatetime,month,population,epi.q75,epi.q95,initdate,epiq95_case
alto paraguay,2012-01-31,1,15786.6826961637,16.9876590562892,46.7304590587043,20200201,7.37718929405833
alto paraguay,2012-02-29,2,15786.6826961637,5.91811832728611,15.3576718927686,20200201,2.4244669312293
alto paraguay,2012-03-31,3,15786.6826961637,16.548840001635,60.2635460017571,20200201,9.51361478875404
alto paraguay,2012-04-30,4,15786.6826961637,8.38002183664146,324.666701321449,20200201,51.2541019577187
alto paraguay,2012-05-31,5,15786.6826961637,1.00000003888011,137.233830447997,20200201,21.6646693646165
alto paraguay,2012-06-30,6,15786.6826961637,2.92304543365247,445.022049328391,20200201,70.2542188554382
alto paraguay,2012-07-31,7,15786.6826961637,9.22190514646309,164.282758582161,20200201,25.9347978218705
alto paraguay,2012-08-31,8,15786.6826961637,1.00000003888011,39.6501861200101,20200201,6.25944907120434
alto paraguay,2012-09-30,9,15786.6826961637,1.00000003888011,235.299195679638,20200201,37.1459374085697
alto paraguay,2012-10-31,10,15786.6826961637,1.00000003888011,289.846510323971,20200201,45.7571488907487
alto paraguay,2012-11-30,11,15786.6826961637,1.00000003888011,217.617791689474,20200201,34.3546302644158
alto paraguay,2012-12-31,12,15786.6826961637,1.00000003888011,91.3163020952461,20200201,14.4158148616468
alto paraguay,2013-01-31,1,16111.1918493509,16.9876590562892,46.7304590587043,20200201,7.52883391103022
alto paraguay,2013-02-28,2,16111.1918493509,5.91811832728611,15.3576718927686,20200201,2.4743039822378
alto paraguay,2013-03-31,3,16111.1918493509,16.548840001635,60.2635460017571,20200201,9.70917551156492
alto paraguay,2013-04-30,4,16111.1918493509,8.38002183664146,324.666701321449,20200201,52.3076751208577
alto paraguay,2013-05-31,5,16111.1918493509,1.00000003888011,137.233830447997,20200201,22.1100057056897
alto paraguay,2013-06-30,6,16111.1918493509,2.92304543365247,445.022049328391,20200201,71.6983561392101
alto paraguay,2013-07-31,7,16111.1918493509,9.22190514646309,164.282758582161,20200201,26.467910410578
alto paraguay,2013-08-31,8,16111.1918493509,1.00000003888011,39.6501861200101,20200201,6.38811755441953
alto paraguay,2013-09-30,9,16111.1918493509,1.00000003888011,235.299195679638,20200201,37.909504835926
alto paraguay,2013-10-31,10,16111.1918493509,1.00000003888011,289.846510323971,20200201,46.6977273469437
alto paraguay,2013-11-30,11,16111.1918493509,1.00000003888011,217.617791689474,20200201,35.060819917412
alto paraguay,2013-12-31,12,16111.1918493509,1.00000003888011,91.3163020952461,20200201,14.7121446202979
alto paraguay,2014-01-31,1,16450.1860796213,16.9876590562892,46.7304590587043,20200201,7.6872474710181
alto paraguay,2014-02-28,2,16450.1860796213,5.91811832728611,15.3576718927686,20200201,2.52636560385814
alto paraguay,2014-03-31,3,16450.1860796213,16.548840001635,60.2635460017571,20200201,9.91346545546722
alto paraguay,2014-04-30,4,16450.1860796213,8.38002183664146,324.666701321449,20200201,53.4082765059467
alto paraguay,2014-05-31,5,16450.1860796213,1.00000003888011,137.233830447997,20200201,22.5752204728875
alto paraguay,2014-06-30,6,16450.1860796213,2.92304543365247,445.022049328391,20200201,73.2069552098644
alto paraguay,2014-07-31,7,16450.1860796213,9.22190514646309,164.282758582161,20200201,27.0248194835006
alto paraguay,2014-08-31,8,16450.1860796213,1.00000003888011,39.6501861200101,20200201,6.52252939765784
alto paraguay,2014-09-30,9,16450.1860796213,1.00000003888011,235.299195679638,20200201,38.7071555331526
alto paraguay,2014-10-31,10,16450.1860796213,1.00000003888011,289.846510323971,20200201,47.680290293582
alto paraguay,2014-11-30,11,16450.1860796213,1.00000003888011,217.617791689474,20200201,35.7985316752811
alto paraguay,2014-12-31,12,16450.1860796213,1.00000003888011,91.3163020952461,20200201,15.0217016156971
alto paraguay,2015-01-31,1,16839.3978705406,16.9876590562892,46.7304590587043,20200201,7.86912792762529
alto paraguay,2015-02-28,2,16839.3978705406,5.91811832728611,15.3576718927686,20200201,2.5861394736755
alto paraguay,2015-03-31,3,16839.3978705406,16.548840001635,60.2635460017571,20200201,10.1480182821321
alto paraguay,2015-04-30,4,16839.3978705406,8.38002183664146,324.666701321449,20200201,54.6719175886785
alto paraguay,2015-05-31,5,16839.3978705406,1.00000003888011,137.233830447997,20200201,23.1093507221213
alto paraguay,2015-06-30,6,16839.3978705406,2.92304543365247,445.022049328391,20200201,74.9390334980412
alto paraguay,2015-07-31,7,16839.3978705406,9.22190514646309,164.282758582161,20200201,27.6642273503498
alto paraguay,2015-08-31,8,16839.3978705406,1.00000003888011,39.6501861200101,20200201,6.67685259715837
alto paraguay,2015-09-30,9,16839.3978705406,1.00000003888011,235.299195679638,20200201,39.6229677466761
alto paraguay,2015-10-31,10,16839.3978705406,1.00000003888011,289.846510323971,20200201,48.808407087331
alto paraguay,2015-11-30,11,16839.3978705406,1.00000003888011,217.617791689474,20200201,36.6455257796748
alto paraguay,2015-12-31,12,16839.3978705406,1.00000003888011,91.3163020952461,20200201,15.3771154304833
alto paraguay,2016-01-31,1,16897.2626888752,16.9876590562892,46.7304590587043,20200201,7.89616842286653
alto paraguay,2016-02-29,2,16897.2626888752,5.91811832728611,15.3576718927686,20200201,2.59502616261667
alto paraguay,2016-03-31,3,16897.2626888752,16.548840001635,60.2635460017571,20200201,10.182889673548
alto paraguay,2016-04-30,4,16897.2626888752,8.38002183664146,324.666701321449,20200201,54.8597853855911
alto paraguay,2016-05-31,5,16897.2626888752,1.00000003888011,137.233830447997,20200201,23.1887608288036
alto paraguay,2016-06-30,6,16897.2626888752,2.92304543365247,445.022049328391,20200201,75.196544698434
alto paraguay,2016-07-31,7,16897.2626888752,9.22190514646309,164.282758582161,20200201,27.7592892701585
alto paraguay,2016-08-31,8,16897.2626888752,1.00000003888011,39.6501861200101,20200201,6.69979610532604
alto paraguay,2016-09-30,9,16897.2626888752,1.00000003888011,235.299195679638,20200201,39.7591231987988
alto paraguay,2016-10-31,10,16897.2626888752,1.00000003888011,289.846510323971,20200201,48.9761262439792
alto paraguay,2016-11-30,11,16897.2626888752,1.00000003888011,217.617791689474,20200201,36.7714499194996
alto paraguay,2016-12-31,12,16897.2626888752,1.00000003888011,91.3163020952461,20200201,15.4299554428006
alto paraguay,2017-01-31,1,17396.9755983353,16.9876590562892,46.7304590587043,20200201,8.12968655943284
alto paraguay,2017-02-28,2,17396.9755983353,5.91811832728611,15.3576718927686,20200201,2.67177043165736
alto paraguay,2017-03-31,3,17396.9755983353,16.548840001635,60.2635460017571,20200201,10.4840343926172
alto paraguay,2017-04-30,4,17396.9755983353,8.38002183664146,324.666701321449,20200201,56.4821868048126
alto paraguay,2017-05-31,5,17396.9755983353,1.00000003888011,137.233830447997,20200201,23.8745359956988
alto paraguay,2017-06-30,6,17396.9755983353,2.92304543365247,445.022049328391,20200201,77.4203773288718
alto paraguay,2017-07-31,7,17396.9755983353,9.22190514646309,164.282758582161,20200201,28.5802314228107
alto paraguay,2017-08-31,8,17396.9755983353,1.00000003888011,39.6501861200101,20200201,6.89793320399269
alto paraguay,2017-09-30,9,17396.9755983353,1.00000003888011,235.299195679638,20200201,40.9349436554658
alto paraguay,2017-10-31,10,17396.9755983353,1.00000003888011,289.846510323971,20200201,50.4245266736877
alto paraguay,2017-11-30,11,17396.9755983353,1.00000003888011,217.617791689474,20200201,37.8589141178539
alto paraguay,2017-12-31,12,17396.9755983353,1.00000003888011,91.3163020952461,20200201,15.8862747928121
alto paraguay,2018-01-31,1,17659.8787982464,16.9876590562892,46.7304590587043,20200201,8.25254243163133
alto paraguay,2018-02-28,2,17659.8787982464,5.91811832728611,15.3576718927686,20200201,2.7121462424953
alto paraguay,2018-03-31,3,17659.8787982464,16.548840001635,60.2635460017571,20200201,10.6424691834358
alto paraguay,2018-04-30,4,17659.8787982464,8.38002183664146,324.666701321449,20200201,57.3357459516325
alto paraguay,2018-05-31,5,17659.8787982464,1.00000003888011,137.233830447997,20200201,24.2353281273072
alto paraguay,2018-06-30,6,17659.8787982464,2.92304543365247,445.022049328391,20200201,78.5903545368661
