"parametername","tsdatetime","initdate","areaid","tsvalue_ensemble_mean"
"length_transmission_season",2020-08-31,"20200401","caazapa",0
"length_transmission_season",2020-08-31,"20200401","canindeyu",0
"length_transmission_season",2020-08-31,"20200401","central",1
"length_transmission_season",2020-08-31,"20200401","concepcion",0
"length_transmission_season",2020-08-31,"20200401","cordillera",1
"length_transmission_season",2020-08-31,"20200401","guaira",1
"length_transmission_season",2020-08-31,"20200401","itapua",1
"length_transmission_season",2020-08-31,"20200401","misiones",0
"length_transmission_season",2020-08-31,"20200401","neembucu",1
"length_transmission_season",2020-08-31,"20200401","paraguari",0
"length_transmission_season",2020-08-31,"20200401","presidente hayes",0
"length_transmission_season",2020-08-31,"20200401","san pedro",1
"length_transmission_season",2020-09-30,"20200401","alto paraguay",1
"length_transmission_season",2020-09-30,"20200401","alto parana",1
"length_transmission_season",2020-09-30,"20200401","amambay",1
"length_transmission_season",2020-09-30,"20200401","asuncion",1
"length_transmission_season",2020-09-30,"20200401","boqueron",1
"length_transmission_season",2020-09-30,"20200401","caaguazu",0
"length_transmission_season",2020-09-30,"20200401","caazapa",0
"length_transmission_season",2020-09-30,"20200401","canindeyu",0
"length_transmission_season",2020-09-30,"20200401","central",1
"length_transmission_season",2020-09-30,"20200401","concepcion",0
"length_transmission_season",2020-09-30,"20200401","cordillera",1
"length_transmission_season",2020-09-30,"20200401","guaira",1
"length_transmission_season",2020-09-30,"20200401","itapua",1
"length_transmission_season",2020-09-30,"20200401","misiones",0
"length_transmission_season",2020-09-30,"20200401","neembucu",1
"length_transmission_season",2020-09-30,"20200401","paraguari",0
"length_transmission_season",2020-09-30,"20200401","presidente hayes",0
"length_transmission_season",2020-09-30,"20200401","san pedro",1
"length_transmission_season",2020-10-31,"20200401","alto paraguay",1
"length_transmission_season",2020-10-31,"20200401","alto parana",1
"length_transmission_season",2020-10-31,"20200401","amambay",1
"length_transmission_season",2020-10-31,"20200401","asuncion",1
"length_transmission_season",2020-10-31,"20200401","boqueron",1
"length_transmission_season",2020-10-31,"20200401","caaguazu",0
"length_transmission_season",2020-10-31,"20200401","caazapa",0
"length_transmission_season",2020-10-31,"20200401","canindeyu",0
"length_transmission_season",2020-10-31,"20200401","central",1
"length_transmission_season",2020-10-31,"20200401","concepcion",0
"length_transmission_season",2020-10-31,"20200401","cordillera",1
"length_transmission_season",2020-10-31,"20200401","guaira",1
"length_transmission_season",2020-10-31,"20200401","itapua",1
"length_transmission_season",2020-10-31,"20200401","misiones",0
"length_transmission_season",2020-10-31,"20200401","neembucu",1
"length_transmission_season",2020-10-31,"20200401","paraguari",0
"length_transmission_season",2020-10-31,"20200401","presidente hayes",0
"length_transmission_season",2020-10-31,"20200401","san pedro",1
