"parametername","tsdatetime","initdate","areaid","tsvalue_ensemble_mean"
"length_transmission_season",2021-05-31,"20210101","itapua",1
"length_transmission_season",2021-05-31,"20210101","misiones",0
"length_transmission_season",2021-05-31,"20210101","neembucu",1
"length_transmission_season",2021-05-31,"20210101","paraguari",1
"length_transmission_season",2021-05-31,"20210101","presidente hayes",1
"length_transmission_season",2021-05-31,"20210101","san pedro",1
"length_transmission_season",2021-06-30,"20210101","alto paraguay",1
"length_transmission_season",2021-06-30,"20210101","alto parana",1
"length_transmission_season",2021-06-30,"20210101","amambay",1
"length_transmission_season",2021-06-30,"20210101","asuncion",1
"length_transmission_season",2021-06-30,"20210101","boqueron",1
"length_transmission_season",2021-06-30,"20210101","caaguazu",1
"length_transmission_season",2021-06-30,"20210101","caazapa",1
"length_transmission_season",2021-06-30,"20210101","canindeyu",1
"length_transmission_season",2021-06-30,"20210101","central",1
"length_transmission_season",2021-06-30,"20210101","concepcion",1
"length_transmission_season",2021-06-30,"20210101","cordillera",1
"length_transmission_season",2021-06-30,"20210101","guaira",1
"length_transmission_season",2021-06-30,"20210101","itapua",0
"length_transmission_season",2021-06-30,"20210101","misiones",0
"length_transmission_season",2021-06-30,"20210101","neembucu",1
"length_transmission_season",2021-06-30,"20210101","paraguari",1
"length_transmission_season",2021-06-30,"20210101","presidente hayes",1
"length_transmission_season",2021-06-30,"20210101","san pedro",1
"length_transmission_season",2021-07-31,"20210101","alto paraguay",1
"length_transmission_season",2021-07-31,"20210101","alto parana",1
"length_transmission_season",2021-07-31,"20210101","amambay",1
"length_transmission_season",2021-07-31,"20210101","asuncion",1
"length_transmission_season",2021-07-31,"20210101","boqueron",1
"length_transmission_season",2021-07-31,"20210101","caaguazu",1
"length_transmission_season",2021-07-31,"20210101","caazapa",0
"length_transmission_season",2021-07-31,"20210101","canindeyu",1
"length_transmission_season",2021-07-31,"20210101","central",1
"length_transmission_season",2021-07-31,"20210101","concepcion",1
"length_transmission_season",2021-07-31,"20210101","cordillera",1
"length_transmission_season",2021-07-31,"20210101","guaira",1
"length_transmission_season",2021-07-31,"20210101","itapua",0
"length_transmission_season",2021-07-31,"20210101","misiones",0
"length_transmission_season",2021-07-31,"20210101","neembucu",0
"length_transmission_season",2021-07-31,"20210101","paraguari",1
"length_transmission_season",2021-07-31,"20210101","presidente hayes",1
"length_transmission_season",2021-07-31,"20210101","san pedro",1
